target,thr_F1,Prec_F1,Rec_F1,F1_F1,thr_RC,Prec_RC,Rec_RC,F1_RC,status
calibration,0.55,0.8824,0.6522,0.75,0.2,0.3889,0.913,0.5455,OK
wheelmeasurement,0.58,0.8235,0.7,0.7568,0.31,0.5625,0.9,0.6923,OK
bodymeasurement,0.05,0.3077,1.0,0.4706,0.05,0.3077,1.0,0.4706,OK
dismounting,0.1,0.9778,0.9778,0.9778,0.54,0.9882,0.9333,0.96,OK
bodyrepair,0.52,0.931,0.8438,0.8852,0.07,0.5577,0.9062,0.6905,OK
assembly,0.51,0.9333,0.9767,0.9545,0.95,0.9643,0.9419,0.9529,OK
plasticrepair,0.48,0.875,0.875,0.875,0.41,0.7857,0.9167,0.8462,OK
allTiresService,0.23,0.125,1.0,0.2222,0.23,0.125,1.0,0.2222,OK
cleaning,0.05,1.0,1.0,1.0,0.02,1.0,1.0,1.0,OK
paintingPreparation,0.5,0.9857,0.9857,0.9857,0.5,0.9857,0.9857,0.9857,OK
paintingSpraying,0.5,0.9857,1.0,0.9928,0.5,0.9857,1.0,0.9928,OK
paintingFinish,0.44,0.9722,1.0,0.9859,0.44,0.9722,1.0,0.9859,OK
hailrepair,0.51,1.0,1.0,1.0,0.51,1.0,1.0,1.0,OK
glas,0.5,0.7143,0.7143,0.7143,0.34,0.4118,1.0,0.5833,OK
