target,Precision,Recall,Accuracy,Threshold,split
allTiresService,0.125,1.0,0.8571,0.45,val
hailrepair,0.9697,1.0,0.9898,0.2,val
paintingFinish,0.9589,1.0,0.9694,0.41,val
cleaning,1.0,1.0,1.0,0.05,val
plasticrepair,0.4211,1.0,0.6633,0.33,val
paintingSpraying,0.9855,0.9855,0.9796,0.05,val
dismounting,0.9778,0.9778,0.9592,0.1,val
paintingPreparation,0.9714,0.9714,0.9592,0.06,val
assembly,0.9425,0.9535,0.9082,0.94,val
wheelmeasurement,0.5185,0.7,0.8061,0.62,val
calibration,0.64,0.6957,0.8367,0.56,val
bodyrepair,0.88,0.6875,0.8673,0.82,val
glas,0.4,0.5714,0.9082,0.91,val
bodymeasurement,0.2,0.25,0.9286,0.95,val
cleaning,0.9691,1.0,0.9697,0.05,test
plasticrepair,0.25,1.0,0.5455,0.33,test
dismounting,0.9438,0.9767,0.9293,0.1,test
paintingPreparation,0.9714,0.9714,0.9596,0.06,test
paintingSpraying,0.9714,0.9714,0.9596,0.05,test
hailrepair,0.9655,0.9655,0.9798,0.2,test
paintingFinish,0.9306,0.9571,0.9192,0.41,test
assembly,0.963,0.8571,0.8384,0.94,test
glas,0.75,0.75,0.9596,0.91,test
wheelmeasurement,0.6,0.6923,0.798,0.62,test
calibration,0.4865,0.6923,0.7273,0.56,test
bodyrepair,0.8,0.5714,0.798,0.82,test
allTiresService,0.1538,0.4,0.8586,0.45,test
bodymeasurement,0.1111,0.25,0.8889,0.95,test
